correctness,Know The Goal,Reciever Closeness,Sender Closeness,Sender Believve,Reciever Believe,Sender Life Ex,Reciever Life Ex,Sender Meditation,Reciever Meditation,Sender illness,Reciever illness,Pain Rate,Time Known
1,0,8,7,0,0,0,0,1,0,0,0,3,3
1,0,8,7,0,0,0,0,1,0,0,0,2,3
1,0,8,7,0,0,0,0,1,0,0,0,0,3
1,0,8,7,0,0,0,0,1,0,0,0,0,3
1,0,8,7,0,0,0,0,1,0,0,0,3.5,3
0,0,8,7,0,0,0,0,1,0,0,0,3,3
1,0,8,7,0,0,0,0,1,0,0,0,1,3
0,0,8,7,0,0,0,0,1,0,0,0,0,3
1,0,8,7,0,0,0,0,1,0,0,0,2,3
0,0,8,7,0,0,0,0,1,0,0,0,1,3
0,0,8,7,0,0,0,0,1,0,0,0,2.5,3
0,0,8,7,0,0,0,0,1,0,0,0,4,3
1,0,9,10,0,0,1,0,0,0,0,0,0,20
0,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,0,20
0,0,9,10,0,0,1,1,0,0,0,0,0,20
1,0,9,10,0,0,1,1,0,0,0,0,0,20
0,0,9,10,0,0,1,1,0,0,0,0,1,20
1,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,3.5,20
0,0,9,10,0,0,1,1,0,0,0,0,0,20
1,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,2,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,1,20
1,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,2,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,1,20
1,1,10,9,0,0,1,1,0,0,0,0,1,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,0,20
1,1,10,9,0,0,1,1,0,0,0,0,1,20
1,0,6,7.5,0,0,0,0,0,0,0,0,3,2
1,0,6,7.5,0,0,0,0,0,0,0,0,1,2
1,0,6,7.5,0,0,0,0,0,0,0,0,2,2
1,0,6,7.5,0,0,0,0,0,0,0,0,3.5,2
1,0,6,7.5,0,0,0,0,0,0,0,0,3.5,2
0,0,6,7.5,0,0,0,0,0,0,0,0,3.5,2
0,0,6,7.5,0,0,0,0,0,0,0,0,0,2
0,0,6,7.5,0,0,0,0,0,0,0,0,0,2
0,0,6,7.5,0,0,0,0,0,0,0,0,1,2
0,0,6,7.5,0,0,0,0,0,0,0,0,4,2
0,0,6,7.5,0,0,0,0,0,0,0,0,0.5,2
0,0,6,7.5,0,0,0,0,0,0,0,0,4,2
0,1,7.5,6,0,0,0,0,0,0,0,0,0,2
0,1,7.5,6,0,0,0,0,0,0,0,0,0,2
0,1,7.5,6,0,0,0,0,0,0,0,0,4,2
1,1,7.5,6,0,0,0,0,0,0,0,0,0,2
1,1,7.5,6,0,0,0,0,0,0,0,0,3,2
0,1,7.5,6,0,0,0,0,0,0,0,0,4,2
0,1,7.5,6,0,0,0,0,0,0,0,0,1,2
1,1,7.5,6,0,0,0,0,0,0,0,0,3.5,2
0,1,7.5,6,0,0,0,0,0,0,0,0,4,2
1,1,7.5,6,0,0,0,0,0,0,0,0,0,2
0,1,7.5,6,0,0,0,0,0,0,0,0,0.7,2
1,1,7.5,6,0,0,0,0,0,0,0,0,3,2
1,0,7,7,1,0,1,0,0,0,0,0,0,2
0,0,7,7,1,0,1,0,0,0,0,0,2,2
0,0,7,7,1,0,1,0,0,0,0,0,2,2
1,0,7,7,1,0,1,0,0,0,0,0,4,2
0,0,7,7,1,0,1,0,0,0,0,0,3,2
0,0,7,7,1,0,1,0,0,0,0,0,2,2
0,0,7,7,1,0,1,0,0,0,0,0,0,2
0,0,7,7,1,0,1,0,0,0,0,0,3,2
0,0,7,7,1,0,1,0,0,0,0,0,1,2
0,0,7,7,1,0,1,0,0,0,0,0,2,2
0,0,7,7,1,0,1,0,0,0,0,0,1,2
1,1,7,7,1,0,1,0,0,0,0,0,3,2
0,1,7,7,0,1,0,1,0,0,0,0,2,2
1,1,7,7,0,1,0,1,0,0,0,0,4,2
0,1,7,7,0,1,0,1,0,0,0,0,3,2
0,1,7,7,0,1,0,1,0,0,0,0,2,2
0,1,7,7,0,1,0,1,0,0,0,0,4,2
0,1,7,7,0,1,0,1,0,0,0,0,3,2
1,1,7,7,0,1,0,1,0,0,0,0,0,2
1,1,7,7,0,1,0,1,0,0,0,0,3,2
1,1,7,7,0,1,0,1,0,0,0,0,5,2
1,1,7,7,0,1,0,1,0,0,0,0,5,2
1,1,7,7,0,1,0,1,0,0,0,0,0,2
0,1,7,7,0,1,0,1,0,0,0,0,3,2
1,1,8,8,0,0,0,0,1,0,0,0,0,7
0,1,8,8,0,0,0,0,1,0,0,0,0,7
0,1,8,8,0,0,0,0,1,0,0,0,0,7
0,1,8,8,0,0,0,0,1,0,0,0,3,7
1,1,8,8,0,0,0,0,1,0,0,0,2,7
0,1,8,8,0,0,0,0,1,0,0,0,3,7
0,1,8,8,0,0,0,0,1,0,0,0,2,7
1,1,8,8,0,0,0,0,1,0,0,0,1,7
1,1,8,8,0,0,0,0,1,0,0,0,3,7
1,1,8,8,0,0,0,0,1,0,0,0,1,7
1,1,8,8,0,0,0,0,1,0,0,0,3,7
1,1,8,8,0,0,0,0,1,0,0,0,3,7
0,1,8,8,0,0,0,0,0,1,0,0,2,7
0,1,8,8,0,0,0,0,0,1,0,0,1,7
0,1,8,8,0,0,0,0,0,1,0,0,0,7
1,1,8,8,0,0,0,0,0,1,0,0,0,7
0,1,8,8,0,0,0,0,0,1,0,0,0,7
1,1,8,8,0,0,0,0,0,1,0,0,0,7
0,1,8,8,0,0,0,0,0,1,0,0,3,7
0,1,8,8,0,0,0,0,0,1,0,0,2,7
1,1,8,8,0,0,0,0,0,1,0,0,3,7
1,1,8,8,0,0,0,0,0,1,0,0,2,7
0,1,8,8,0,0,0,0,0,1,0,0,0,7
1,1,8,8,0,0,0,0,0,1,0,0,3,7
1,0,10,9,0,0,1,1,0,0,0,0,2,21
1,0,10,9,0,0,1,1,0,0,0,0,2,21
0,0,10,9,0,0,1,1,0,0,0,0,1,21
0,0,10,9,0,0,1,1,0,0,0,0,0,21
1,0,10,9,0,0,1,1,0,0,0,0,1,21
1,0,10,9,0,0,1,1,0,0,0,0,1,21
1,0,10,9,0,0,1,1,0,0,0,0,3,21
0,0,10,9,0,0,1,1,0,0,0,0,2,21
1,0,10,9,0,0,1,1,0,0,0,0,2,21
0,0,10,9,0,0,1,1,0,0,0,0,3,21
1,0,10,9,0,0,1,1,0,0,0,0,4,21
1,0,10,9,0,0,1,1,0,0,0,0,1,21
0,1,9,10,0,0,1,1,0,0,0,0,0,21
1,1,9,10,0,0,1,1,0,0,0,0,4,21
1,1,9,10,0,0,1,1,0,0,0,0,3,21
0,1,9,10,0,0,1,1,0,0,0,0,4,21
0,1,9,10,0,0,1,1,0,0,0,0,1,21
1,1,9,10,0,0,1,1,0,0,0,0,1,21
1,1,9,10,0,0,1,1,0,0,0,0,0,21
0,1,9,10,0,0,1,1,0,0,0,0,4,21
1,1,9,10,0,0,1,1,0,0,0,0,4,21
1,1,9,10,0,0,1,1,0,0,0,0,1,21
0,1,9,10,0,0,1,1,0,0,0,0,3,21
0,1,9,10,0,0,1,1,0,0,0,0,0,21
0,0,8,6,0,0,0,0,0,1,0,0,0,0.5
0,0,8,6,0,0,0,0,0,1,0,0,2,0.5
1,0,8,6,0,0,0,0,0,1,0,0,3,0.5
0,0,8,6,0,0,0,0,0,1,0,0,1,0.5
0,0,8,6,0,0,0,0,0,1,0,0,1,0.5
0,0,8,6,0,0,0,0,0,1,0,0,1,0.5
1,0,8,6,0,0,0,0,0,1,0,0,1,0.5
0,0,8,6,0,0,0,0,0,1,0,0,0,0.5
0,0,8,6,0,0,0,0,0,1,0,0,0,0.5
0,0,8,6,0,0,0,0,0,1,0,0,1,0.5
0,0,8,6,0,0,0,0,0,1,0,0,1,0.5
1,0,8,6,0,0,0,0,0,1,0,0,1,0.5
1,1,6,8,0,0,0,0,1,0,0,0,2,0.5
0,1,6,8,0,0,0,0,1,0,0,0,0,0.5
0,1,6,8,0,0,0,0,1,0,0,0,2,0.5
1,1,6,8,0,0,0,0,1,0,0,0,2,0.5
1,1,6,8,0,0,0,0,1,0,0,0,1,0.5
0,1,6,8,0,0,0,0,1,0,0,0,2,0.5
0,1,6,8,0,0,0,0,1,0,0,0,1,0.5
0,1,6,8,0,0,0,0,1,0,0,0,3,0.5
0,1,6,8,0,0,0,0,1,0,0,0,0,0.5
1,1,6,8,0,0,0,0,1,0,0,0,0,0.5
0,1,6,8,0,0,0,0,1,0,0,0,3,0.5
1,1,6,8,0,0,0,0,1,0,0,0,1,0.5
0,1,8,8,1,0,1,1,0,0,0,0,0,21
0,1,8,8,1,0,1,1,0,0,0,0,0,21
0,1,8,8,1,0,1,1,0,0,0,0,4,21
1,1,8,8,1,0,1,1,0,0,0,0,4,21
0,1,8,8,1,0,1,1,0,0,0,0,2,21
1,1,8,8,1,0,1,1,0,0,0,0,1,21
0,1,8,8,1,0,1,1,0,0,0,0,1,21
0,1,8,8,1,0,1,1,0,0,0,0,3,21
0,1,8,8,1,0,1,1,0,0,0,0,2,21
1,1,8,8,1,0,1,1,0,0,0,0,1,21
1,1,8,8,1,0,1,1,0,0,0,0,1,21
1,1,8,8,1,0,1,1,0,0,0,0,1,21
0,1,8,8,0,1,1,1,0,0,0,0,4,21
0,1,8,8,0,1,1,1,0,0,0,0,1,21
1,1,8,8,0,1,1,1,0,0,0,0,4,21
1,1,8,8,0,1,1,1,0,0,0,0,0,21
0,1,8,8,0,1,1,1,0,0,0,0,4,21
1,1,8,8,0,1,1,1,0,0,0,0,5,21
0,1,8,8,0,1,1,1,0,0,0,0,0,21
0,1,8,8,0,1,1,1,0,0,0,0,2,21
1,1,8,8,0,1,1,1,0,0,0,0,1,21
1,1,8,8,0,1,1,1,0,0,0,0,5,21
0,1,8,8,0,1,1,1,0,0,0,0,5,21
1,1,8,8,0,1,1,1,0,0,0,0,0,21
0,0,9,7,0,1,1,1,0,0,1,0,0,21
1,0,9,7,0,1,1,1,0,0,1,0,2,21
0,0,9,7,0,1,1,1,0,0,1,0,2,21
0,0,9,7,0,1,1,1,0,0,1,0,1,21
1,0,9,7,0,1,1,1,0,0,1,0,1,21
0,0,9,7,0,1,1,1,0,0,1,0,2,21
1,0,9,7,0,1,1,1,0,0,1,0,2.5,21
0,0,9,7,0,1,1,1,0,0,1,0,2.5,21
0,0,9,7,0,1,1,1,0,0,1,0,1,21
0,0,9,7,0,1,1,1,0,0,1,0,1.5,21
0,0,9,7,0,1,1,1,0,0,1,0,3,21
1,0,9,7,0,1,1,1,0,0,1,0,1,21
1,1,7,9,1,0,1,1,0,0,0,1,2,21
1,1,7,9,1,0,1,1,0,0,0,1,4,21
0,1,7,9,1,0,1,1,0,0,0,1,4,21
1,1,7,9,1,0,1,1,0,0,0,1,3.5,21
1,1,7,9,1,0,1,1,0,0,0,1,3,21
1,1,7,9,1,0,1,1,0,0,0,1,3,21
1,1,7,9,1,0,1,1,0,0,0,1,2,21
1,1,7,9,1,0,1,1,0,0,0,1,2,21
1,1,7,9,1,0,1,1,0,0,0,1,1,21
1,1,7,9,1,0,1,1,0,0,0,1,2,21
1,1,7,9,1,0,1,1,0,0,0,1,0,21
1,1,7,9,1,0,1,1,0,0,0,1,0,21
1,0,6,9,0,0,1,0,0,0,0,0,3,10
1,0,6,9,0,0,1,0,0,0,0,0,4,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
1,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,3,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,3,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
1,0,6,9,0,0,1,0,0,0,0,0,3,10
1,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,0,10
0,0,6,9,0,0,1,0,0,0,0,0,4,10
1,1,9,6,0,0,0,1,0,0,0,0,0,10
1,1,9,6,0,0,0,1,0,0,0,0,3,10
0,1,9,6,0,0,0,1,0,0,0,0,3,10
0,1,9,6,0,0,0,1,0,0,0,0,0,10
0,1,9,6,0,0,0,1,0,0,0,0,2,10
1,1,9,6,0,0,0,1,0,0,0,0,0,10
0,1,9,6,0,0,0,1,0,0,0,0,3,10
1,1,9,6,0,0,0,1,0,0,0,0,2,10
1,1,9,6,0,0,0,1,0,0,0,0,1,10
1,1,9,6,0,0,0,1,0,0,0,0,2,10
1,1,9,6,0,0,0,1,0,0,0,0,1,10